datetime,precipitation,tempmax,tempmin,wind,weather
01-01-2020,0,19.5,4,13,RainCloudy
02-01-2020,0,22.6,9,11.2,RainCloudy
03-01-2020,23,20.1,12.1,14.8,RainCloudy
04-01-2020,0,19.3,11,9.4,RainCloudy
05-01-2020,0,20,12,13,RainCloudy
06-01-2020,0,22.5,10,13.9,RainCloudy
07-01-2020,0,21.6,12,9.4,RainCloudy
08-01-2020,7,15.5,13,18.4,RainCloudy
09-01-2020,2.68,17,11,20.5,RainCloudy
10-01-2020,0,16.3,7,11.2,Clear
11-01-2020,0,18.1,5,11.2,Clear
12-01-2020,0,19.5,7,11.2,RainCloudy
13-01-2020,0,20.5,7,11.2,RainCloudy
14-01-2020,0,21,10,7.6,RainCloudy
15-01-2020,6.71,17,12,5.4,RainCloudy
16-01-2020,62,15.4,14,16.6,RainCloudy
17-01-2020,19,17.4,13,11.2,RainCloudy
18-01-2020,0,14.7,12.7,3.7,RainCloudy
19-01-2020,0,17.1,12,13,RainCloudy
20-01-2020,0,17,8,11.2,Clear
21-01-2020,0,18.1,7,5.4,RainCloudy
22-01-2020,0,20.1,6,13,Clear
23-01-2020,0,20,9,25.9,Clear
24-01-2020,0,20.5,8,18.4,Clear
25-01-2020,0,20,8,9.4,Clear
26-01-2020,0,19.6,8,13,Clear
27-01-2020,0,23,8,7.6,Clear
28-01-2020,0,22.9,12,18.4,RainCloudy
29-01-2020,0.8,23,14,16.6,RainCloudy
30-01-2020,0,21.9,10,16.6,Clear
31-01-2020,0,21.9,9,14.8,Clear
01-02-2020,0,21,7,16.6,Clear
02-02-2020,0,20.6,9,16.6,Clear
03-02-2020,0,20.1,7.8,9.4,Clear
04-02-2020,0,22.1,7,7.6,Clear
05-02-2020,0,22.4,9.8,22.3,Clear
06-02-2020,0,22.5,9,11.2,Clear
07-02-2020,0,22.5,10,16.6,Clear
08-02-2020,0,22.1,8,18.4,Clear
09-02-2020,0,23.5,9,9.4,Clear
10-02-2020,0,23,9.9,12.1,Clear
11-02-2020,0,22.5,7,14.8,Clear
12-02-2020,0,23.6,10,18.4,Clear
13-02-2020,0,25.3,11,22.3,Clear
14-02-2020,0,26.3,13.1,25.9,Clear
15-02-2020,0,24.8,11,25.9,Clear
16-02-2020,0,25.5,11,11.2,Clear
17-02-2020,0,26,13,18.4,Clear
18-02-2020,0,26,11,18.4,Clear
19-02-2020,0,27.6,10.5,9.4,RainCloudy
20-02-2020,0,26.9,15,16.6,RainCloudy
21-02-2020,7,23.1,16,25.9,RainCloudy
22-02-2020,0,23.6,15,13,RainCloudy
23-02-2020,0,27,17,7.6,RainCloudy
24-02-2020,4,26,16,9.4,RainCloudy
25-02-2020,0,23,16,24.1,RainCloudy
26-02-2020,0,24.2,13,9.4,RainCloudy
27-02-2020,0,25,13,7.6,RainCloudy
28-02-2020,0,25.5,15,7.6,RainCloudy
29-02-2020,0,27.2,17,11.2,RainCloudy
01-03-2020,0.4,27,17,27.7,RainCloudy
02-03-2020,0,28.5,16,9.4,RainCloudy
03-03-2020,0,30.1,16,11.2,Clear
04-03-2020,20,29.7,17,24.1,RainCloudy
05-03-2020,1,27,17,16.6,RainCloudy
06-03-2020,13,26,16.1,27.7,RainCloudy
07-03-2020,10,24,15.9,25.9,RainCloudy
08-03-2020,0,24.9,14,14.8,Clear
09-03-2020,0,25.8,13,22.3,Clear
10-03-2020,0.1,22.7,14,9.4,RainCloudy
11-03-2020,0,26.1,15,18.4,RainCloudy
12-03-2020,0,30.2,17,11.2,RainCloudy
13-03-2020,17,24,17.1,24.1,RainCloudy
14-03-2020,2.98,24,16,11.2,RainCloudy
15-03-2020,0,26.4,18,9.4,RainCloudy
16-03-2020,0,25.6,15,9.4,RainCloudy
17-03-2020,0,28.4,14.9,11.2,Clear
18-03-2020,0,28.8,16.1,18.4,Clear
19-03-2020,0,29.8,16,10.3,Clear
20-03-2020,0,31.6,17,5.4,Clear
21-03-2020,2,30.1,20.5,13,RainCloudy
22-03-2020,0,31,17,7.6,RainCloudy
23-03-2020,0,31.5,19,11.2,RainCloudy
24-03-2020,0,32.5,19,11.2,RainCloudy
25-03-2020,0,33.1,21,18.4,RainCloudy
26-03-2020,0,33.5,22,22.3,RainCloudy
27-03-2020,4,25,20,35.3,RainCloudy
28-03-2020,0,30.9,18,20.5,RainCloudy
29-03-2020,0,31.6,18,24.1,Clear
30-03-2020,0,32.1,17,29.5,Clear
31-03-2020,0,33.8,17,22.3,Clear
01-04-2020,0,35.1,19,16.6,RainCloudy
02-04-2020,0,33.6,20,18.4,Clear
03-04-2020,0,32.6,17,18.4,Clear
04-04-2020,0,33.9,17.3,16.6,Clear
05-04-2020,0,35.4,17.9,18.4,Clear
06-04-2020,0,36.9,19,20.5,Clear
07-04-2020,0,37.5,22.7,20.5,Clear
08-04-2020,0,36.5,23,14.8,RainCloudy
09-04-2020,0,35.5,21,15.7,Clear
10-04-2020,0,36.5,19.1,14.8,Clear
11-04-2020,0,38.3,20,13.9,Clear
12-04-2020,0,37.5,22,16.6,Clear
13-04-2020,0,38.5,21.1,14.8,Clear
14-04-2020,0,38.5,24,9.4,RainCloudy
15-04-2020,0,37,25,13,RainCloudy
16-04-2020,0,38.6,24,14.8,Clear
17-04-2020,0,36.6,25,16.6,RainCloudy
18-04-2020,0,37.5,24.6,13,RainCloudy
19-04-2020,0,36,24.7,14.8,RainCloudy
20-04-2020,2,35,22.8,18.4,RainCloudy
21-04-2020,0,34,22,16.6,RainCloudy
22-04-2020,0.3,35,22.1,13,RainCloudy
23-04-2020,0,33.2,22.9,7.6,RainCloudy
24-04-2020,0,36.4,24,11.2,RainCloudy
25-04-2020,0,34.5,24,18.4,RainCloudy
26-04-2020,13,33.9,21,37.1,RainCloudy
27-04-2020,22,31.1,20.7,14.8,RainCloudy
28-04-2020,0,33.3,22.9,14.8,RainCloudy
29-04-2020,0,32.7,22.7,11.2,RainCloudy
30-04-2020,0,35.1,24,7.6,Clear
01-05-2020,0,31.3,22.1,20.4,RainCloudy
02-05-2020,0,34.1,23,16.6,Clear
03-05-2020,0,35,24,14.8,RainCloudy
04-05-2020,1,35,24,31.7,RainCloudy
05-05-2020,24,33.1,19,27.7,RainCloudy
06-05-2020,4,33.7,20,11.2,Rain
07-05-2020,0,32.7,21,24.1,Clear
08-05-2020,0,37.5,23,11.2,Clear
09-05-2020,0,36.9,24.9,16.6,Clear
10-05-2020,25,35.9,21,22.3,RainCloudy
11-05-2020,0,34,21,5.4,Clear
12-05-2020,0,36.4,25.1,11.2,RainCloudy
13-05-2020,0,37,25,3.6,RainCloudy
14-05-2020,2,38.1,25,7.6,Rain
15-05-2020,0,38.7,26,16.6,Clear
16-05-2020,0,39.9,26,18.4,Clear
17-05-2020,0,40.5,24,20.5,Clear
18-05-2020,0,40,26,13,RainCloudy
19-05-2020,0,40.9,10,18.4,Clear
20-05-2020,0,39.1,25.1,18.4,RainCloudy
21-05-2020,0,40.5,25.6,18.4,Clear
22-05-2020,0,43.2,24.2,7.6,Clear
23-05-2020,0,39.6,27.4,14.8,Clear
24-05-2020,0,44.2,28.9,14.8,Clear
25-05-2020,0,44.4,27.8,27.7,Clear
26-05-2020,0,44.5,27,14.8,RainCloudy
27-05-2020,0,43.6,28.8,25.9,RainCloudy
28-05-2020,0,35.6,25,22.3,RainCloudy
29-05-2020,0,35.6,27,24.1,RainCloudy
30-05-2020,58,34,23,27.7,RainCloudy
31-05-2020,0,32,22.9,13,RainCloudy
01-06-2020,0,35.1,25,11.2,RainCloudy
02-06-2020,0,33.5,27,13,RainCloudy
03-06-2020,0,35.5,26,9.4,RainCloudy
04-06-2020,0.9,29.4,25.9,11.2,RainCloudy
05-06-2020,6.73,25.7,22,18.4,RainCloudy
06-06-2020,0,32,22,7.6,RainCloudy
07-06-2020,0,36,24.9,7.6,RainCloudy
08-06-2020,0,38.5,27,11.2,Clear
09-06-2020,0,40.5,28,11.2,Clear
10-06-2020,0,39.5,29,13,Clear
11-06-2020,0,38,30,25.9,RainCloudy
12-06-2020,0,39,30,13,RainCloudy
13-06-2020,0,36.9,29.9,14.8,RainCloudy
14-06-2020,0,37.3,29.9,18.4,RainCloudy
15-06-2020,3.2,34,27,27.7,RainCloudy
16-06-2020,2,35.4,27,14.8,RainCloudy
17-06-2020,0,34.6,27,18.4,RainCloudy
18-06-2020,17,33,28,14.8,RainCloudy
19-06-2020,0,36,27,16.6,RainCloudy
20-06-2020,0,35.4,28,22.3,RainCloudy
21-06-2020,0.6,32.1,26,11.2,RainCloudy
22-06-2020,0,33,27,14.8,RainCloudy
23-06-2020,18,33,27,77.8,RainCloudy
24-06-2020,9,33.9,27,11.2,RainCloudy
25-06-2020,35.32,31.1,25.8,12.1,RainCloudy
26-06-2020,20.2,33,26,11.2,RainCloudy
27-06-2020,16,31.9,26.7,18.4,RainCloudy
28-06-2020,12,35.3,27,16.6,RainCloudy
29-06-2020,82,31,24,11.2,RainCloudy
30-06-2020,4,34,27,11.2,RainCloudy
01-07-2020,0,34.9,27,9.4,RainCloudy
02-07-2020,0,36.6,28,11.2,RainCloudy
03-07-2020,2,34.5,25.2,12.9,RainCloudy
04-07-2020,6.51,33.8,28.9,18.4,RainCloudy
05-07-2020,0,32,27,13,RainCloudy
06-07-2020,58.89,31.5,25,14.8,RainCloudy
07-07-2020,16.17,30.6,26,66.6,RainCloudy
08-07-2020,3,34,27,7.6,RainCloudy
09-07-2020,28,33.5,28,11.2,RainCloudy
10-07-2020,14,31,26.6,18.4,RainCloudy
11-07-2020,13,34.5,27,18.4,RainCloudy
12-07-2020,0,35,28,14.8,RainCloudy
13-07-2020,0,35.2,28,11.2,RainCloudy
14-07-2020,37,32,23,27.7,RainCloudy
15-07-2020,0,34,27.9,14.8,RainCloudy
16-07-2020,14.43,33,27,14.8,RainCloudy
17-07-2020,12,35.6,28.6,14.8,RainCloudy
18-07-2020,0,35.5,29,11.2,RainCloudy
19-07-2020,4.2,34.3,27,9.4,RainCloudy
20-07-2020,7.46,30.2,25,15.7,RainCloudy
21-07-2020,44,33.1,25,18.4,RainCloudy
22-07-2020,84,34,25.8,11.2,RainCloudy
23-07-2020,4,34,26,11.2,RainCloudy
24-07-2020,0,34.4,27.4,13,RainCloudy
25-07-2020,0,33.5,27,11.2,RainCloudy
26-07-2020,0,35.6,28,11.2,RainCloudy
27-07-2020,0.2,36.9,28,13,RainCloudy
28-07-2020,0.2,34,27.1,14.8,RainCloudy
29-07-2020,36.75,29.5,24,11.2,RainCloudy
30-07-2020,22,33.3,26.5,11.2,RainCloudy
31-07-2020,16,33.6,27,16.6,RainCloudy
01-08-2020,5.4,33.1,27,14.8,RainCloudy
02-08-2020,5,34.2,27,13,RainCloudy
03-08-2020,0,32.9,25.3,14.8,RainCloudy
